,Beer Name,Brewery Name,Rating,Number of Reviews,Style
1,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,4.9,856,Stout - American Imperial
2,Marshmallow Handjee,3 Floyds Brewing Co.,4.81,"1,752",Stout - Russian Imperial
3,Barrel-Aged Abraxas,Perennial Artisan Ales,4.79,"1,602",Stout - American Imperial
4,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,4.78,"1,649",Stout - American Imperial
5,Heady Topper,The Alchemist,4.76,"14,927",IPA - New England
6,Pliny The Younger,Russian River Brewing Company,4.75,"3,440",IPA - Imperial
7,Mornin' Delight,Toppling Goliath Brewing Company,4.75,"1,686",Stout - American Imperial
8,King JJJuliusss,Tree House Brewing Company,4.77,730,IPA - New England
9,King Julius,Tree House Brewing Company,4.75,"1,360",IPA - New England
10,Very Hazy,Tree House Brewing Company,4.74,"1,086",IPA - New England
11,CBS (Canadian Breakfast Stout),Founders Brewing Company,4.7,"6,647",Stout - American Imperial
12,Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel,Cigar City Brewing,4.77,352,Stout - American Imperial
13,Fundamental Observation,Bottle Logic Brewing,4.71,"1,488",Stout - American Imperial
14,Pliny The Elder,Russian River Brewing Company,4.69,"15,411",IPA - Imperial
15,Assassin,Toppling Goliath Brewing Company,4.7,"1,446",Stout - American Imperial
16,Fou' Foune,Brasserie Cantillon,4.69,"3,194",Lambic - Fruit
17,Juice Machine,Tree House Brewing Company,4.7,"1,170",IPA - New England
18,Julius,Tree House Brewing Company,4.68,"4,902",IPA - New England
19,Very Green,Tree House Brewing Company,4.69,"1,500",IPA - New England
20,Zenne Y Frontera,Brouwerij 3 Fonteinen,4.74,353,Lambic - Traditional
21,Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,4.74,325,Stout - American Imperial
22,Abner,Hill Farmstead Brewery,4.67,"2,842",IPA - New England
23,Double Sunshine,Lawson's Finest Liquids,4.67,"2,598",IPA - Imperial
24,Bourbon County Brand Stout,Goose Island Beer Co.,4.66,"13,228",Stout - American Imperial
25,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),4.66,"6,767",Quadrupel (Quad)
26,Dinner,Maine Beer Company,4.66,"2,632",IPA - Imperial
27,KBS (Kentucky Breakfast Stout),Founders Brewing Company,4.65,"13,965",Stout - American Imperial
28,Duck Duck Gooze,The Lost Abbey,4.66,"1,961",Lambic - Gueuze
29,JJJuliusss!,Tree House Brewing Company,4.67,943,IPA - New England
30,Very GGGreennn,Tree House Brewing Company,4.73,286,IPA - New England
31,Morning Wood,Funky Buddha Brewery,4.66,"1,226",Porter - Imperial
32,Lou Pepe - Kriek,Brasserie Cantillon,4.65,"1,848",Lambic - Fruit
33,Parabola,Firestone Walker Brewing Co.,4.64,"7,114",Stout - Russian Imperial
34,Westly,Sante Adairius Rustic Ales,4.69,415,Wild Ale
35,Fuzzy,Side Project Brewing,4.65,"1,005",Wild Ale
36,Ann,Hill Farmstead Brewery,4.68,426,Farmhouse Ale - Saison
37,Zombie Dust,3 Floyds Brewing Co.,4.62,"11,046",Pale Ale - American
38,Hunahpu's Imperial Stout,Cigar City Brewing,4.62,"4,412",Stout - American Imperial
39,Chemtrailmix,3 Floyds Brewing Co.,4.72,217,Stout - Russian Imperial
40,Doubleganger,Tree House Brewing Company,4.63,"1,151",IPA - New England
41,Double Citra®,Hill Farmstead Brewery,4.62,"2,055",IPA - New England
42,Atrial Rubicite,Jester King Brewery,4.62,"1,959",Wild Ale
43,Double Galaxy,Hill Farmstead Brewery,4.62,"1,649",IPA - New England
44,King Sue,Toppling Goliath Brewing Company,4.61,"3,220",IPA - New England
45,Maman,Perennial Artisan Ales,4.66,412,Stout - American Imperial
46,Anabasis,Side Project Brewing,4.71,216,Barleywine - American
47,Headroom,Trillium Brewing Company,4.63,783,IPA - New England
48,Framboise Du Fermier,Side Project Brewing,4.68,293,Farmhouse Ale - Saison
49,Rare Scooop,Cycle Brewing,4.73,179,Stout - American Imperial
50,Citra,Kern River Brewing Company,4.61,"1,848",IPA - Imperial
51,Supplication,Russian River Brewing Company,4.6,"6,658",Wild Ale
52,Aaron,Hill Farmstead Brewery,4.63,665,Barleywine - English
53,Lou Pepe - Framboise,Brasserie Cantillon,4.61,"1,421",Lambic - Fruit
54,Green,Tree House Brewing Company,4.6,"3,339",IPA - New England
55,Oude Geuze Vintage,Brouwerij 3 Fonteinen,4.62,860,Lambic - Gueuze
56,Blessed,Anchorage Brewing Company,4.77,130,Stout - American Imperial
57,Nectarine Premiere,de Garde Brewing,4.65,385,Farmhouse Ale - Saison
58,Cable Car,The Lost Abbey,4.61,"1,130",Wild Ale
59,Double Dry Hopped Congress Street,Trillium Brewing Company,4.6,"1,630",IPA - New England
